# Sheet: EDUCATION
,,,,,,CODE KEY,CURR-Curriculum,FEDB-Feedback action,,,WELF-Welfare,,,,,CLTE-clinical teaching,,,CURR-O-Curriculum objectives
,,,,,,,COMM-Communication,SECR-Security,POCY-Policy,,TECH-teaching,,,,,EVNR-Environment,,,
,,,,,,,,,,,,,,,,,,,
DATE,SNO,IDENTIFIED GAP,SOURCE,CODE,ENTRY DATE,RESPONSE,ACTION,RESPONSIBLE PERSON,1 MONTH,3 MONTHS,STATUS,DATE CLOSED,6 MONTHS,ANNUALY,REMARKS,TASK ALLCATION,,,
Apr-25,1,Expired curriculum,KCMS/COC,CURR,Feb-25,completeby 15 july,Complete the curriculum,HOP,,,DONE,15TH JULY 2025,,,,Luke,,,
,2,The progress of you dealing with it is not updated to students,KCHS CS,FEDB,,,,,,,,,,,,,,,
,3,Delayed response to issues,KCHS CS,COMM,,,,,,,,,,,,,,,
,4,"Our opinions are only needed just for formalities, but action taken is opposite of what we want,",KCHS CS,FEDB,,,,,,,IN PROGRESS,,,,,,,,
,5,"We had aired our concerns of not being comfortable with CCTV in the hostels and you guys
said you will not install them but guess what you installed them!",KCHS CS,SECR,,,,,,,,,,,,,,,
,6,"Students are barely heard,amending tough rules",KCHS CS,POCY,,Explanation of the procedure in the student forum,,,,,,,,,,,,,
,7,"We're not even recognized as part of the college and you should create awareness on who we
are and what we do in the clinical areas. We should also have clear objectives written down in
booklet as other departments",KCHS CS,CURR,,,,,,,,,,,,,,,
,8,Yall do not listen once tou have decided that's it,KCHS CS,COMM,,,,,,,,,,,,,,,
,9,"Poor communication skills and the fact that u don't seem to be on the same table showing
poor team work",KCHS CS,COMM,,,,,,,,,,,,,,,
,10,"I am satisfied with everything except the food
",KCHS CS,WELF,,,,,,,,,,,,,,,
,11,Recognize every carder equally kindly,KCHS CS,CURR,,,,,,,,,,,,,,,
,12,"It's an adult learning institution, but we are treated as children",KCHS CS,WELF,,,,,,,,,,,,,,,
,13,You involve us when you want to carry out projects only for formality purposes and not because you actually want our opinion or input,KCHS CS,,,,,,,,,,,,,,,,
,14,"Proper protocol guidance,(comment on proffessionalism)",KCHS CS,WELF,,,,,,,,,,,,,,,
,15,"Improve in your involvement on the junior students
",KCHS CS,WELF,,,,,,,,,,,,,,,
,16,The teaching style is okay but sometimes feedback in some areas is delayed or never given,KCHS CS,FEDB,,,,,,,,,,,,,,,
,17,"Try improve on the bulk of information you are impacting on students at certain
time let it be about content en how much students understand and not about bulk",KCHS CS,CURR,,,,,,,,,,,,,,,
,18,"some tutors articulate their materials well and bring about critical thinking will others not and
they espect it to be shown in exams",KCHS CS,TECH,,,,,,,,,,,,,,,
,19,Lack of sufficient clinical instructors to guide students in the clinical areas ,KCHS CS,CLTE,,,,,,,,,,,,,,,
,20,I could recommend for slabs at least to maintain the tidiness of the classrooms especially on a Maddy day.,KCHS CS,ENVR,,,,,,,,,,,,,,,
,21,"For the classes as RCO we need permanent classrooms ,to avoid the inconveniences of regular
shifting",KCHS CS,ENVR,,,,,,,,,,,,,,,
,22,despite the noises whenever the food is being brought to wards.,KCHS CS,ENVR,,,,,,,,,,,,,,,
,23,"For the classroom, there was a lit of noise from the construction",KCHS CS,ENVR,,,,,,,,,,,,,,,
,24,Some rooms are congested in hostels.,KCHS CS,ENVR,,,,,,,,,,,,,,,
,25,"The cats are licking the same plates we're using for our meals
.Maybe something should be done concerning that",KCHS CS,ENVR,,,,,,,,,,,,,,,
,26,The food is served very little. Also men are served a large amount of food compared to the ladies,KCHS CS,WELF,,hudles and qR codes and the comi ettee meets every Friday to look at the feedback,,,,,,,,,,,,,
,27,"Limited recreational facilities and events
",KCHS CS,WELF,,,,,,,,,,,,,,,
,28,"For the hostel, esp weekends, the bathrooms are never cleaned until Monday",KCHS CS,ENVR,,,,,,,,,,,,,,,
,29,"Hostels are crowded (4 people per room), only 2 sockets available to share among 4 people,
constant invasion by the monkeys and the CCTV placement is cynical",KCHS CS,ENVR,,A requirement from regulatory bdy,,,,,,,,,,,,,
,30,Hostel are no clean especially Ebenezer,KCHS CS,SECR,,,,,,,,,,,,,,,
,31,"The hostels,, especially the ones outside the hospital environment,,very poorly managed based
on the fact that we pay the same prices as those living in the hostels inside the hospital",KCHS CS,WELF,,,,,,,,,,,,,,,
,32,"Unhygienic and poor quality food in terms pf cooking method
",KCHS CS,WELF,,,,,,,,,,,,,,,
,33,sometimes students miss tea and sometimes we are denied tea if we go past the tea break this is in case of tutors overstaying in classes and releasing us late for tea,KCHS CS,WELF,,,,,,,,,,,,,,,
,34,Cafeteria sometimes meals provided not well prepared,KCHS CS,WELF,,,,,,,,,,,,,,,
,35,"I think that the girls domitory has a lot of rules that do not make sense and the food in the
cafeteria is not nice
",KCHS CS,WELF,,,,,,,,,,,,,,,
,36,"The food is not good ,bad taste n smell
",KCHS CS,WELF,,,,,,,,,,,,,,,
,37,The food sometimes especially lunch it's not fresh,KCHS CS,WELF,,,,,,,,,,,,,,,
,38,Some members undermining students as they deliver the services (cafteria),KCHS CS,WELF,,,,,,,,,,,,,,,
,39,"Sometimes, there is hostility( clinical
instruction, its impact on student performance, and our commitment to meeting
students’ expectations.)

",KCHS CS,CLTE,,,,,,,,,,,,,,,
,40,Colliding with in charges and sometimes one is not at ease with them,KCHS CS,CLTE,,,,,,,,,,,,,,,
,41,"The tutor in charge of clinicals rotation maybe should talk to the nursing incharges to let them
know that we are supposed to be there at that particular time so reduce misunderstanding and
dissapointments",KCHS CS,CURR-O,,,,,,,,,,,,,,,
,42,"We don't have a guide book, objective clearly defined on what we are supposed to meet",KCHS CS,CURR-O,,,,,,,,,,,,,,,
,43,No clinical instructor we relay on incharges..,KCHS CS,CLTE,,,,,,,,,,,,,,,
,44,"Some lessons are a bit rushed,and some instructions are given last minute giving us little time
to prepare",cls teaching,TECH,,,,,,,,,,,,,,,
,45,"Installation of CCTV inside the hostel, despite us being against it, no communication was
made, they were just installed, period!",,SECR,,,,,,,,,,,,,,,
,46,Delayed feedback,communication,FEDB,,,,,,,,,,,,,,,
,47,"Communication is not consistent.. Assessment days keeps changing which is so
inconveniencing to us",communication,COMM,,,,,,,,,,,,,,,
,48,"I feel like when yall are making a decision you have already decided their is no discussion
",communication,COMM,,,,,,,,,,,,,,,
,49,"For example when one has done something wrong , you should listen to the students side and
don't be rude about it because everyone makes mistakes and one can learn from there
mistakes
",communication,POCY,,,,,,,,,,,,,,,
,50,"it is important to communicate in time and without being controversial
",communication,COMM,,,,,,,,,,,,,,,
,51,The meals still ....no improvement despite our complaints, overall quality of service,WELF,,,,,,,,,,,,,,,
,52," When it comes to our comfort I dare say we
are neglected
",,WELF,,,,,,,,,,,,,,,
,54,School fees should be revised and affordable education provided Improve on time management,KCHS CS,FEES,,,,,,,,,,,,,,,
,55,"Sports, Music and drama as co- cullicular activities.",KCHS CS,WELF,,,,,,,,,,,,,,,
,56,"Am sorry to say this but to be honest, the college food is unsatisfying. The food served is very little. There is also discrimination in serving as the men are served alot of food while the ladies get only a small amount. Many are the times I've queued only to see the male students in front of me served well. My fellow ladies and I keep telling the servers to add us but they add only a little or even tell us to go and come back if we will not be full but when the men ask for more food, the add until the food is filled to the brim. This has been so unfair considering the amount we pay for food.",KCHS CS,WELF,,,,,,,,,,,,,,,
,57,"Easier access to the computer hub
",KCHS CS,WELF,,,,,,,,,,,,,,,
,58,"Not listening to the needs of the students, or providing excuses for needs u dont value their importsnce",KCHS CS,COMM,,,,,,,,,,,,,,,
,59,"Meals shld be prepared better
",,WELF,,,,,,,,,,,,,,,
,60,Plates for serving meals are never cleaned properly,,WELF,,,,,,,,,,,,,,,
,61,"Maybe our environment,at time's when it rains,the place is very muddy,i believe we could try to cement our school with pavements,also the drainage system, it's poor, especially the water that drains the way along mortuary also along the field because it's really even damaging our field considering we use the field in graduations and other activities and try to evade soil erosion.",,ENVR,,,,,,,,,,,,,,,
,62,"Communication wise,, i feel like students should be aware of the nature of exams and also length of the study is not what we signed for..",,COMM,,,,,,,,,,,,,,,
,63,"Our clinical area, mostly in med Surg placemen,I find it unsatisfying because when students are only used to the routine task like bed baths, administration of medications,feeding and turning they fail to learn a lot,so let's improve to make our clinical more of practicing and leaning,this can be done by having a clinical instructor available to facilitate learning in the clinicals.",,CLTE,,,,,,,,,,,,,,,
,64,"I do get the reson of sending some students behind due to indicpline but due to failing one unit
that is not fair towards the parents and the students because sometimes not all students are
blessed with the academic minds
",,POCY,,,,,,,,,,,,,,,
,65,Change the special beans to beans or something else,,WELF,,,,,,,,,,,,,,,
,66,"Please build residential apartments,,we need those,,not as hostels though",,ENVR,,,,,,,,,,,,,,,
,67,"Our program planning, clinicals mainly theatre department, we are full time student we need to
have a full working day",,CLTE,,,,,,,,,,,,,,,
